workerID,name,DOB,phone #,location,bank #
1293724160,Patrick!,6/11/1945,133391523,NYC,1092577777
1323404714,Jeremiah,5/5/1955,970625444,McMurdo Station,2141074019
1636841389,Joe,8/11/1955,878457809,McMurdo Station,2087165057
1824528834,Jeff,5/23/1977,260854067,Seaford,695134509
1965318739,Patrick!,5/23/1977,828807354,McMurdo Station,182053946
2079986259,Jeremiah,5/23/1977,625877701,McMurdo Station,1607871273
163593185,Patrick!,5/23/1977,948489551,McMurdo Station,929953874
954325006,Joe,6/19/1980,1067927292,NYC,497822894
1809788497,Patrick!,8/11/1955,120804624,McMurdo Station,1790897065
1796427594,Jeremy,5/23/1977,1062210399,McMurdo Station,1320298304
203940642,Jeremy,2/20/1999,738866571,McMurdo Station,163289776
545369265,Patrick!,1/19/1999,598072636,McMurdo Station,2000941991
1123689807,Jerry,5/23/1977,718807942,The Big Apple,1793831206
1516566217,Joe,1/19/1999,580784247,The Big Apple,935008664
876732505,Patrick!,5/23/1977,410465806,NYC,799483899
342473489,Jeremy,6/19/1980,1047224395,Seaford,1151531809
980844633,Jeremiah,6/11/1945,273820242,The Big Apple,70129800
486232040,Jeremiah,1/19/1999,682583977,McMurdo Station,2075568266
365415671,Jeremiah,6/11/1945,100221994,McMurdo Station,1453126838
979494949,Patrick!,2/20/1999,717284816,The Big Apple,1234813217
997157986,Joe,8/11/1955,717953665,The Big Apple,1189526152
1038262761,Jeremiah,5/5/1955,232942957,NYC,297432549
483087229,Patrick!,1/19/1999,363501669,NYC,440774096
1341112268,Jeff,5/23/1977,269084939,NYC,1557492930
1188400534,Patrick!,1/19/1999,728257425,NYC,859210711
1234291234,Jeff,6/11/1945,984833902,The Big Apple,1760009622
847265816,Patrick!,5/5/1955,496706429,The Big Apple,1172308733
816387531,Jerry,6/19/1980,557743983,McMurdo Station,1484361198
364258764,Jerry,5/23/1977,616479039,McMurdo Station,1412262731
1171785347,Patrick!,6/11/1945,565785785,The Big Apple,1159148787
1420540260,Jeremy,5/23/1977,396056728,Seaford,1212634435
1281719393,Jeremiah,8/11/1955,643326164,The Big Apple,496559801
1053880343,Patrick!,8/11/1955,1039259324,Seaford,1914247476
1552457411,Joe,6/11/1945,1097022430,McMurdo Station,809710756
1500447569,Jerry,6/19/1980,314034479,Seaford,1333758865
1409436297,Joe,6/19/1980,137689317,McMurdo Station,1897975898
1830740860,Joe,5/23/1977,781375488,The Big Apple,2045604301
2111813164,Jeff,2/20/1999,823903447,Seaford,1803802414
988302883,Jerry,6/11/1945,858415849,NYC,1522421641
2024704972,Jeff,2/20/1999,1080933957,NYC,892747206
899493565,Joe,5/5/1955,591679460,Seaford,1882068175
130428927,Jeff,5/5/1955,367466260,NYC,1538266654
1275736979,Jeff,1/19/1999,199812564,McMurdo Station,2045514847
1567609792,Patrick!,6/19/1980,741406898,The Big Apple,866958826
55762772,Joe,2/20/1999,213336378,NYC,64947231
458174597,Jeff,6/19/1980,254837281,McMurdo Station,1471188942
36873235,Jeremiah,1/19/1999,1041298118,The Big Apple,597387737
